file_name,source_role,sheet_name,row_count,column_count,primary_key,sha256
Telco_customer_churn_demographics.xlsx,Customer demographics,Telco_Churn,7043,9,Customer ID,2e4062dc0d77bc6567634b8697ff3a18466c502e489bed2c8b7b97b7588d3f34
Telco_customer_churn_location.xlsx,Customer location,Telco_Churn,7043,9,Customer ID,7bac60961b08cf907e83016346978224f9a678a7c317df7d6dda90bcb84e57bb
Telco_customer_churn_population.xlsx,ZIP-code population,Population,1671,3,Zip Code,dc410f5f9402a699013b93d8efae727e7bd91e25a0d56a05801e4376932e7740
Telco_customer_churn_services.xlsx,Customer services usage and charges,Telco_Churn,7043,30,Customer ID,518cb73070028d84c741dc91d2dbf55f629d8a856c119cedfee36a97a2f96c92
Telco_customer_churn_status.xlsx,Customer status and churn,Telco_Churn,7043,11,Customer ID,fc256ac6e2ea4e5036a28401a5e4ae786ad4b14893dfb0a3a4817cc8c3ec9289
